,,,,Oxygen,,,,,,,,,,,,,,,,Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,,,
Log Date Time,MS,Tick,Day,Crew O2 Consumed,Crew Env O2,VPGC Env O2,O2 Store,Total Sim O2,O2 Created by OGS,VPGC Plant O2 Produced,Crew GARDEN O2 Produced,Total O2 Produced,B(X) - Change in Creation of O2/Change in Total O2,B(X) Daily Aerage,"M(X,?) - O2 Consumed or Removed/Total O2","M(X,?)Daily Average","Eigenvalue, ?","Eigenvalue, ? of Daily Average",Filter for Daily value,CO2 Store,Crew CO2 Injected,VPGC CO2 Injected,VPGC CO2 Injected (kg/Day),Total CO2 Injected,Crew CO2 Produced ,Crew CO2 Produced (kg/Day),VCCR CO2 Removed,VPGC CO2 Consumed,GARDEN CO2 Consumed,Plant CO2 Consumed,Plant CO2 Consumed (kg/Day),PhisoChem Removal (kg/Day),Air Revitalization (kg CO2 per Day),Crew Env CO2,VPGC Env CO2,Total Sim CO2,CO2 Concentration (%) ,B(X) - Change in Creation of CO2/Change in Total CO2,B(X) Daily Aerage,"M(X,?) - CO2 Consumed or Removed/Total CO2","CO2 M(X,?)Daily Average","CO2 Eigenvalue, ?","CO2 Eigenvalue, ? of Daily Average",CRS And waste?
10/14/2020 11:31,368,15,,0,2062.2156,361.1204,1496.7246,3920.0606,15.420277,0.06411228,5.08E-07,15.48438979,0.000259683,,0,,-0.000259683,,FALSE,7972.7534,0,0,,0,0,,0.014791858,0.059918016,4.70E-07,0.059918486,,,,4.03E-04,20.026768,7992.780571,,0,,9.34723E-06,,9.34723E-06,,
10/14/2020 11:31,368,16,,0,2062.2156,361.1885,1512.1449,3935.549,15.420277,0.06813326,5.71E-07,15.48841083,0.000259616,,0,,-0.000259616,,FALSE,7969.976,0,0,,0,0,,3.92E-04,0.06367594,5.28E-07,0.063676468,,,,1.02E-05,19.963093,7989.939103,,0,,8.01869E-06,,8.01869E-06,,
10/14/2020 11:31,383,17,,0,2062.2156,361.26065,1527.5652,3951.04145,15.420277,0.072154246,6.36E-07,15.49243188,0.000259549,,0,,-0.000259549,,FALSE,7947.198,20,0,,20,0,,0,0.06743387,5.89E-07,0.067434459,,,,20.00001,19.895657,7987.093667,,0,,8.44293E-06,,8.44293E-06,,
10/14/2020 11:31,383,18,,0,2062.2156,361.33682,1542.9855,3966.53792,15.420277,0.07617522,7.09E-07,15.49645293,0.000259481,,0,,-0.000259481,,FALSE,7963.8496,0,0,,0,0,,19.428968,0.071191795,6.56E-07,0.071192451,,,,0.57104045,19.824467,7984.245107,,0,,0.00244233,,0.00244233,,
10/14/2020 11:31,383,19,,0,2062.2156,361.41702,1558.4058,3982.03842,15.420277,0.080196194,7.85E-07,15.50047398,0.000259414,,0,,-0.000259414,,FALSE,7961.6274,0,0,,0,0,,0.55584466,0.07494972,7.27E-07,0.074950447,,,,0.015195061,19.749516,7981.392111,,0,,7.90332E-05,,7.90332E-05,,
10/14/2020 11:31,399,20,,0,2062.2156,361.50125,1573.826,3997.54285,15.420277,0.08421718,8.63E-07,15.50449504,0.000259349,,0,,-0.000259349,,FALSE,7958.8643,0,0,,0,0,,0.014791554,0.07870764,7.99E-07,0.078708439,,,,4.03E-04,19.67081,7978.535513,,0,,1.17189E-05,,1.17189E-05,,
10/14/2020 11:31,399,21,,0,2062.2156,361.5895,1589.2463,4013.0514,15.420277,0.08823816,9.43E-07,15.5085161,0.00025928,,0,,-0.00025928,,FALSE,7956.087,0,0,,0,0,,3.92E-04,0.08246557,8.73E-07,0.082466443,,,,9.82E-06,19.588345,7975.675355,,0,,1.03889E-05,,1.03889E-05,,
10/14/2020 11:31,399,22,,0,2062.2156,361.6818,1604.6666,4028.564,15.420277,0.09225914,1.02E-06,15.51253716,0.000259213,,0,,-0.000259213,,FALSE,7933.309,20,0,,20,0,,0,0.08622349,9.48E-07,0.086224438,,,,20.00001,19.502125,7972.811135,,0,,1.08148E-05,,1.08148E-05,,
10/14/2020 11:31,399,23,,0,2062.2156,361.7781,1620.0869,4044.0806,15.420277,0.09628012,1.12E-06,15.51655824,0.000259147,,0,,-0.000259147,,FALSE,7949.9604,0,0,,0,0,,19.428968,0.089981414,1.04E-06,0.08998245,,,,0.5710401,19.412144,7969.943584,,0,,0.00244907,,0.00244907,,
10/14/2020 11:31,414,24,1,0,2062.2156,361.87845,1635.5072,4059.60125,15.420277,0.100301094,1.21E-06,15.5205793,0.000259078,,0,,-0.000259078,,TRUE,7947.7383,0,0,,0,0,,0.5558443,0.09373933,1.12E-06,0.093740451,0.054505455,3.797109094,3.851614549,0.015194666,19.318401,7967.071896,,0,,8.15337E-05,,8.15337E-05,,
